input,output,hint,weight,color
bah suh,bah-suh,半起毛志体,713,
bah suh,峇士,,822,
bah sò,bah-sò,,700,
bah sò,肉燥,,809,
bah thé,bah-thé,,700,
bah thé,肉体,,809,
bah thé,肉體,,809,
bah îⁿ,bah-îⁿ,,700,
bah îⁿ,肉員,,808,
bah îⁿ,肉圓,,809,
bai,bai,,0,
baih,baih,,0,
bak,bak,,713,
bak,泪,,648,
bak khu mi lah,bak-khu-mi-lah,,700,
bak tó͘,pak-tó͘,,700,
bak tó͘,腹肚,,809,
ban,ban,,700,
ban,屘,,850,
ban chek,ban-chek,,700,
ban chek,屘叔,,809,
ban chek á,ban-chek-á,,700,
ban chek á,屘叔仔,,809,
ban kiáⁿ,ban-kiáⁿ,,713,
ban kiáⁿ,屘子,,822,
ban á,ban-á,,700,
ban á,屘仔,,809,
ban á kiáⁿ,ban-á-kiáⁿ,,713,
ban á kiáⁿ,屘仔子,,822,
bang,bang,,0,
bang kok,Bang-kok,,700,
bat,bat,,740,
bat,八,,930,
bat,識,,931,
bau,bau,,0,
bauh,bauh,,0,
ba̍h,ba̍h,,0,
ba̍h á,ba̍h-á,,700,
ba̍ih,ba̍ih,,0,
ba̍k,ba̍k,,713,
ba̍k,墨,,285,
ba̍k,木,,296,
ba̍k,目,,888,
ba̍k,目,8+,996,
ba̍k bâi,ba̍k-bâi,,713,
ba̍k bâi,目眉,,822,
ba̍k bé,ba̍k-bé,,709,
ba̍k bé,目尾,,818,
ba̍k bóe,ba̍k-bóe,,713,
ba̍k bóe,目尾,,822,
ba̍k chiah mn̂g,ba̍k-chiah-mn̂g,,700,
ba̍k chiah mo͘,ba̍k-chiah-mo͘,,700,
ba̍k chiu,ba̍k-chiu,,736,
ba̍k chiu,目周,,645,
ba̍k chiu,目珠,,644,
ba̍k chiu jîn,ba̍k-chiu-jîn,,700,
ba̍k chiu jîn,目周仁,,809,
ba̍k chiu jîn,目珠仁,,808,
ba̍k chiu lāi,ba̍k-chiu lāi,,713,
ba̍k chiu lāi,目周內,,822,
ba̍k chiu lāi,目珠內,,821,
ba̍k chiu mn̂g,ba̍k-chiu mn̂g,,713,
ba̍k chiu mn̂g,目周毛,,822,
ba̍k chiu mn̂g,目珠毛,,821,
ba̍k chiu mo͘,ba̍k-chiu mo͘,,713,
ba̍k chiu mo͘,目周毛,,822,
ba̍k chiu mo͘,目珠毛,,821,
ba̍k chi̍t nih,ba̍k chi̍t nih,,700,
ba̍k chi̍t nih,目一哖,,609,
ba̍k hīⁿ,ba̍k-hīⁿ,,700,
ba̍k hīⁿ,墨硯,,801,
ba̍k kho͘,ba̍k-kho͘,,713,
ba̍k kho͘,目匝,,821,
ba̍k kho͘,目篐,,822,
ba̍k kia̍h,ba̍k-kia̍h,,713,
ba̍k kia̍h,木屐,,822,
ba̍k kiàⁿ,ba̍k-kiàⁿ,,727,
ba̍k kiàⁿ,目鏡,,836,
ba̍k nī,ba̍k-nī,,700,
ba̍k nī,木莉,,809,
ba̍k pôaⁿ,ba̍k-pôaⁿ,,713,
ba̍k pôaⁿ,墨盤,,822,
ba̍k sa,Ba̍k-sa,,713,
ba̍k sa,ba̍k-sa,,700,
ba̍k sa,木栅,,822,
ba̍k sat,ba̍k-sat,,700,
ba̍k sat,木虱,,809,
ba̍k sek,ba̍k-sek,,713,
ba̍k sek,目識,,822,
ba̍k sái,ba̍k-sái,,737,
ba̍k sái,目屎,,846,
ba̍k sîn,ba̍k-sîn,,700,
ba̍k sîn,目神,,809,
ba̍k tē,ba̍k-tē,,700,
ba̍k tē,目地,,809,
ba̍t,ba̍t,,713,
ba̍t,密,,867,
ba̍t sat,ba̍k-sat,,700,
ba̍t sat,ba̍t-sat,,700,
ba̍uh,ba̍uh,,713,
ba̍uh,貿,,628,
ba̍uh iâⁿ,ba̍uh iâⁿ,,713,
ba̍uh iâⁿ,貿嬴,,822,
be,be,,0,
beh,beh,,753,
beh,卜,,748,
beh boeh,beh boeh,,713,
beh boeh,卜卜,,616,
beh nî,beh nî,,700,
beh nî,卜哖,,809,
beh nî,卜年,,809,
beh ti̍h,beh ti̍h,,700,
beh ti̍h,卜碟,,605,
beh ti̍hⁿ,beh ti̍hⁿ,,713,
beh ti̍hⁿ,卜碟,,618,
beh ài,beh ài,,727,
beh ài,卜愛,,836,
beh àm á,beh-àm-á,,700,
beh àm á,卜暗仔,,609,
beh án chóaⁿ,beh án-chóaⁿ,,713,
beh án chóaⁿ,卜按盞,,622,
beh óa,beh óa,,700,
beh óa,卜倚,,609,
beh óa beh óa,beh óa beh óa,,700,
beh óa beh óa,卜倚卜倚,,609,
bek,bek,,0,
beng,beng,,0,
be̍h,be̍h,,713,
be̍h,袜,,633,
be̍h,襪,,634,
be̍h,麥,,883,
be̍h,麦,,89,
be̍h liâu,Be̍h-liâu,,700,
be̍h liâu,麥寮,,809,
be̍h á,be̍h-á,,713,
be̍h á,袜仔,,821,
be̍h á,襪仔,,822,
be̍h á chiú,be̍h-á-chiú,,700,
be̍h á chiú,麥仔酒,,809,
be̍k,be̍k,,0,
be̍k,墨,,485,
be̍k,貉,,77,
be̍k,貊,,80,
be̍k,麥,,498,
be̍k,麦,,89,
be̍k,默,,480,
be̍k se ko,Be̍k-se-ko,,700,
be̍k se ko,墨西哥,,809,
bi,bi,,0,
bi long,彌濃,,817,
bi long,瀰濃,,818,
bi luh,bi-luh,起毛志体,713,
bi luh,bih-luh,起毛志体,713,
bi lóng,彌濃,,808,
bi lóng,瀰濃,,809,
bia,bia,,0,
biah,biah,,0,
biak,biak,,0,
bian,bian,,0,
biang,biang,,0,
biat,biat,,0,
biau,biau,,0,
biauh,biauh,,0,
bia̍h,bia̍h,,0,
bia̍k,bia̍k,,0,
bia̍t,bia̍t,,0,
bia̍t,滅,,487,
bia̍uh,bia̍uh,,0,
bih,bih,,727,
bih,匿,,882,
bih,米,,882,
bih,米,2+4,971,
bih luh,bih-luh,半起毛志体,723,
bih sio chhē,bih sio-chhē,,709,
bih sio chhē,匿相尋,,818,
bih sio chhē,米相尋,,818,
bih sio chhōe,bih sio-chhōe,,713,
