input,output,annotation,weight,category
kàu kah,kàu kah,,999,
kàu kah,到到,,999,
kàu kah,到甲,,999,
ká ná,kah ná,,999,
ká ná,kah-ná,,999,
ká ná,到那,,999,
ká ná,甲那,,999,
kám,kám,,999,
kám,咁,,999,
kám,敢,,999,
kán ná,kán-ná,,999,
kán ná,簡那,,999,
káⁿ,káⁿ,,999,
káⁿ,敢,,999,
káⁿ ná,kah ná,,999,
káⁿ ná,kah-ná,,999,
káⁿ ná,到那,,999,
káⁿ ná,甲那,,999,
kè,kè,,999,
kè,過,,999,
kì,暨,,999,
kín,kín,,999,
kín,緊,,999,
kî thāi,kî-thāi,,999,
kî thāi,期待,,999,
kòe,kòe,,999,
kòe,過,,999,
kóng,kóng,,999,
kóng,講,,999,
kā,kā,,999,
kā,共,,999,
kāng khoán,kāng khoán,,999,
kāng khoán,仝欵,,999,
kāng khoán,共欵,,999,
kē,kē,,999,
kē,下,,999,
kē,低,,999,
kē chhù á,kē-chhù-á,,999,
kē chhù á,下厝仔,,999,
kē chhù á,低厝仔,,999,
leh,teh,,999,
leh,塊,,999,
lih,tih,,999,
lih,塊,,999,
lih,致,,999,
liáu,liáu,,999,
liáu,了,,999,
liáu āu,liáu-āu,,999,
liáu āu,了后,,999,
liáu āu,了後,,999,
li̍p chhun,Li̍p-chhun,,999,
li̍p chhun,立春,,999,
lo̍h hō͘,lo̍h hō͘,,999,
lo̍h hō͘,落雨,,999,
lán,lán,,999,
lán,咱,,999,
lâi,lâi,,999,
lâi,來,,999,
lâng,lâng,,999,
lâng,人,,999,
lêng hûn,lêng-hûn,,999,
lêng hûn,灵魂,,999,
lêng hûn,靈魂,,999,
lêng siàⁿ,lêng-siàⁿ,,999,
lêng siàⁿ,灵聖,,999,
lêng siàⁿ,靈聖,,999,
lí,Lí,,999,
lí,lí,,999,
lí,李,,999,
lí,汝,,999,
lín,lín,,999,
lín,恁,,999,
lóng,lóng,,999,
lóng,朗,,999,
lô má,Lô-má,,999,
lô má,羅馬,,999,
lô má jī,Lô-má-jī,,999,
lô má jī,羅馬字,,999,
lāi soaⁿ,lāi-soaⁿ,,999,
lāi soaⁿ,內山,,999,
lāu lâng,lāu lâng,,999,
lāu lâng,lāu-lâng,,999,
